audit_id,concept,comparison_register,relationship_type,contrast_type,baseline_query_id,baseline_condition,baseline_query_text,target_query_id,target_condition,target_query_text,baseline_s_c,target_s_c,delta_s_c,baseline_s_r,target_s_r,delta_s_r,baseline_cas,target_cas,delta_cas,decomposition_identity_error
freedom_autonomy,freedom,autonomy and self-determination,valid_but_partial,bare_to_general,freedom_autonomy_bare_p1,bare,freedom,freedom_autonomy_natural_general_p1,natural_general,Freedom may be described through individual self-determination and control over personal decisions.,0.38794290102270085,0.45544494949278697,0.06750204847008612,0.46099836995519555,0.7213338719665442,0.26033550201134864,-0.0730554689324947,-0.2658889224737572,-0.19283345354126252,0.0
freedom_autonomy,freedom,autonomy and self-determination,valid_but_partial,bare_to_general,freedom_autonomy_bare_p1,bare,freedom,freedom_autonomy_natural_general_p2,natural_general,"In a contemporary disciplinary account, freedom involves individual self-determination and control over personal decisions.",0.38794290102270085,0.4817615635159569,0.09381866249325604,0.46099836995519555,0.7284908158261687,0.26749244587097315,-0.0730554689324947,-0.2467292523102118,-0.1736737833777171,0.0
freedom_autonomy,freedom,autonomy and self-determination,valid_but_partial,bare_to_general,freedom_autonomy_bare_p1,bare,freedom,freedom_autonomy_natural_general_p3,natural_general,A discussion of freedom focuses on individual self-determination and control over personal decisions.,0.38794290102270085,0.45872255231699227,0.07077965129429142,0.46099836995519555,0.7283329362304699,0.26733456627527435,-0.0730554689324947,-0.26961038391347764,-0.19655491498098293,0.0
freedom_autonomy,freedom,autonomy and self-determination,valid_but_partial,general_to_ambiguous,freedom_autonomy_natural_general_p1,natural_general,Freedom may be described through individual self-determination and control over personal decisions.,freedom_autonomy_natural_ambiguous_p1,natural_ambiguous,"What does freedom mean when moral, social, and theological perspectives may all be involved?",0.45544494949278697,0.5159112368133949,0.06046628732060794,0.7213338719665442,0.4389907374466633,-0.2823431345198809,-0.2658889224737572,0.07692049936673162,0.34280942184048885,0.0
freedom_autonomy,freedom,autonomy and self-determination,valid_but_partial,general_to_ambiguous,freedom_autonomy_natural_general_p2,natural_general,"In a contemporary disciplinary account, freedom involves individual self-determination and control over personal decisions.",freedom_autonomy_natural_ambiguous_p2,natural_ambiguous,How should a person understand freedom when more than one semantic register may be relevant?,0.4817615635159569,0.37478847222382106,-0.10697309129213584,0.7284908158261687,0.46078852755844285,-0.26770228826772585,-0.2467292523102118,-0.0860000553346218,0.16072919697559002,0.0
freedom_autonomy,freedom,autonomy and self-determination,valid_but_partial,general_to_ambiguous,freedom_autonomy_natural_general_p3,natural_general,A discussion of freedom focuses on individual self-determination and control over personal decisions.,freedom_autonomy_natural_ambiguous_p3,natural_ambiguous,Which dimensions of freedom matter when its meaning is not fully specified?,0.45872255231699227,0.37767933546547416,-0.08104321685151811,0.7283329362304699,0.4480647870865558,-0.2802681491439141,-0.26961038391347764,-0.07038545162108162,0.19922493229239602,0.0
freedom_autonomy,freedom,autonomy and self-determination,valid_but_partial,general_to_label_free_theological,freedom_autonomy_natural_general_p1,natural_general,Freedom may be described through individual self-determination and control over personal decisions.,freedom_autonomy_label_free_theological_p1,label_free_theological,"Freedom concerns choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.45544494949278697,0.7278567714979672,0.27241182200518027,0.7213338719665442,0.4628153863763891,-0.2585184855901551,-0.2658889224737572,0.26504138512157815,0.5309303075953353,0.0
freedom_autonomy,freedom,autonomy and self-determination,valid_but_partial,general_to_label_free_theological,freedom_autonomy_natural_general_p2,natural_general,"In a contemporary disciplinary account, freedom involves individual self-determination and control over personal decisions.",freedom_autonomy_label_free_theological_p2,label_free_theological,"Freedom is understood through choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.4817615635159569,0.7988796623138271,0.31711809879787023,0.7284908158261687,0.4883135973344163,-0.2401772184917524,-0.2467292523102118,0.3105660649794108,0.5572953172896227,0.0
freedom_autonomy,freedom,autonomy and self-determination,valid_but_partial,general_to_label_free_theological,freedom_autonomy_natural_general_p3,natural_general,A discussion of freedom focuses on individual self-determination and control over personal decisions.,freedom_autonomy_label_free_theological_p3,label_free_theological,"An account of freedom emphasizes choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.45872255231699227,0.779929801406848,0.3212072490898557,0.7283329362304699,0.5335113230930543,-0.19482161313741564,-0.26961038391347764,0.2464184783137937,0.5160288622272713,0.0
freedom_autonomy,freedom,autonomy and self-determination,valid_but_partial,label_free_to_explicit_catholic,freedom_autonomy_label_free_theological_p1,label_free_theological,"Freedom concerns choice ordered to truth and goodness, moral responsibility, and the person's final end.",freedom_autonomy_explicit_catholic_p1,explicit_catholic,"In Catholic teaching, freedom concerns choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.7278567714979672,0.896431252290403,0.16857448079243575,0.4628153863763891,0.42407161712004743,-0.038743769256341654,0.26504138512157815,0.47235963517035556,0.2073182500487774,0.0
freedom_autonomy,freedom,autonomy and self-determination,valid_but_partial,label_free_to_explicit_catholic,freedom_autonomy_label_free_theological_p2,label_free_theological,"Freedom is understood through choice ordered to truth and goodness, moral responsibility, and the person's final end.",freedom_autonomy_explicit_catholic_p2,explicit_catholic,"In Catholic teaching, freedom is understood through choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.7988796623138271,0.8977383371594566,0.09885867484562949,0.4883135973344163,0.404528722315173,-0.08378487501924331,0.3105660649794108,0.4932096148442836,0.1826435498648728,0.0
freedom_autonomy,freedom,autonomy and self-determination,valid_but_partial,label_free_to_explicit_catholic,freedom_autonomy_label_free_theological_p3,label_free_theological,"An account of freedom emphasizes choice ordered to truth and goodness, moral responsibility, and the person's final end.",freedom_autonomy_explicit_catholic_p3,explicit_catholic,"In Catholic teaching, an account of freedom emphasizes choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.779929801406848,0.8859221008730923,0.10599229946624433,0.5335113230930543,0.4409001985473677,-0.09261112454568654,0.2464184783137937,0.4450219023257246,0.19860342401193087,0.0
freedom_autonomy,freedom,autonomy and self-determination,valid_but_partial,general_to_integrative,freedom_autonomy_natural_general_p1,natural_general,Freedom may be described through individual self-determination and control over personal decisions.,freedom_autonomy_integrative_p1,integrative,"Freedom can involve individual self-determination and control over personal decisions, while theological reflection also concerns choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.45544494949278697,0.732819398237451,0.27737444874466405,0.7213338719665442,0.615119956735169,-0.10621391523137524,-0.2658889224737572,0.11769944150228207,0.3835883639760393,0.0
freedom_autonomy,freedom,autonomy and self-determination,valid_but_partial,general_to_integrative,freedom_autonomy_natural_general_p2,natural_general,"In a contemporary disciplinary account, freedom involves individual self-determination and control over personal decisions.",freedom_autonomy_integrative_p2,integrative,"An account of freedom may include individual self-determination and control over personal decisions together with choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.4817615635159569,0.7015749683411915,0.2198134048252346,0.7284908158261687,0.6352676989773443,-0.09322311684882445,-0.2467292523102118,0.06630726936384723,0.31303652167405904,0.0
freedom_autonomy,freedom,autonomy and self-determination,valid_but_partial,general_to_integrative,freedom_autonomy_natural_general_p3,natural_general,A discussion of freedom focuses on individual self-determination and control over personal decisions.,freedom_autonomy_integrative_p3,integrative,"Discussion of freedom can retain both individual self-determination and control over personal decisions and choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.45872255231699227,0.6840689914825323,0.22534643916554004,0.7283329362304699,0.593543686707495,-0.13478924952297489,-0.26961038391347764,0.09052530477503729,0.3601356886885149,0.0
autonomy_self_governance,autonomy,individual self-governance,valid_but_partial,bare_to_general,autonomy_self_governance_bare_p1,bare,autonomy,autonomy_self_governance_natural_general_p1,natural_general,Autonomy may be described through independent control over one's choices and life plans.,0.47225525096748555,0.4964742434029404,0.024218992435454834,0.5593856949799928,0.7725457653535787,0.21316007037358586,-0.08713044401250725,-0.2760715219506383,-0.18894107793813103,0.0
autonomy_self_governance,autonomy,individual self-governance,valid_but_partial,bare_to_general,autonomy_self_governance_bare_p1,bare,autonomy,autonomy_self_governance_natural_general_p2,natural_general,"In a contemporary disciplinary account, autonomy involves independent control over one's choices and life plans.",0.47225525096748555,0.5120134431382771,0.03975819217079157,0.5593856949799928,0.776365236317562,0.21697954133756925,-0.08713044401250725,-0.2643517931792849,-0.17722134916677768,0.0
autonomy_self_governance,autonomy,individual self-governance,valid_but_partial,bare_to_general,autonomy_self_governance_bare_p1,bare,autonomy,autonomy_self_governance_natural_general_p3,natural_general,A discussion of autonomy focuses on independent control over one's choices and life plans.,0.47225525096748555,0.5030690606868162,0.030813809719330676,0.5593856949799928,0.7709510871463033,0.21156539216631054,-0.08713044401250725,-0.2678820264594871,-0.18075158244697986,0.0
autonomy_self_governance,autonomy,individual self-governance,valid_but_partial,general_to_ambiguous,autonomy_self_governance_natural_general_p1,natural_general,Autonomy may be described through independent control over one's choices and life plans.,autonomy_self_governance_natural_ambiguous_p1,natural_ambiguous,"What does autonomy mean when moral, social, and theological perspectives may all be involved?",0.4964742434029404,0.5767353913574292,0.08026114795448885,0.7725457653535787,0.48822045290383964,-0.284325312449739,-0.2760715219506383,0.0885149384535896,0.3645864604042279,0.0
autonomy_self_governance,autonomy,individual self-governance,valid_but_partial,general_to_ambiguous,autonomy_self_governance_natural_general_p2,natural_general,"In a contemporary disciplinary account, autonomy involves independent control over one's choices and life plans.",autonomy_self_governance_natural_ambiguous_p2,natural_ambiguous,How should a person understand autonomy when more than one semantic register may be relevant?,0.5120134431382771,0.43353310915279125,-0.07848033398548587,0.776365236317562,0.5012036559301475,-0.27516158038741456,-0.2643517931792849,-0.06767054677735623,0.1966812464019287,0.0
autonomy_self_governance,autonomy,individual self-governance,valid_but_partial,general_to_ambiguous,autonomy_self_governance_natural_general_p3,natural_general,A discussion of autonomy focuses on independent control over one's choices and life plans.,autonomy_self_governance_natural_ambiguous_p3,natural_ambiguous,Which dimensions of autonomy matter when its meaning is not fully specified?,0.5030690606868162,0.43246164383091834,-0.07060741685589789,0.7709510871463033,0.5088261579067774,-0.2621249292395259,-0.2678820264594871,-0.07636451407585909,0.19151751238362802,0.0
autonomy_self_governance,autonomy,individual self-governance,valid_but_partial,general_to_label_free_theological,autonomy_self_governance_natural_general_p1,natural_general,Autonomy may be described through independent control over one's choices and life plans.,autonomy_self_governance_label_free_theological_p1,label_free_theological,"Autonomy concerns responsible self-governance within truth, relationship, and the common good.",0.4964742434029404,0.802446458722737,0.3059722153197966,0.7725457653535787,0.5220243010384352,-0.25052146431514344,-0.2760715219506383,0.2804221576843018,0.55649367963494,0.0
autonomy_self_governance,autonomy,individual self-governance,valid_but_partial,general_to_label_free_theological,autonomy_self_governance_natural_general_p2,natural_general,"In a contemporary disciplinary account, autonomy involves independent control over one's choices and life plans.",autonomy_self_governance_label_free_theological_p2,label_free_theological,"Autonomy is understood through responsible self-governance within truth, relationship, and the common good.",0.5120134431382771,0.8203599689926828,0.3083465258544057,0.776365236317562,0.5204403990454862,-0.2559248372720758,-0.2643517931792849,0.2999195699471966,0.5642713631264815,0.0
